t1,t2,t3,ds1,ds2,ds3,df1,df2,df3,PhaseNoise,QuantEff,Bandwidth,MaxCurrent,DecayTime
198,970,2000,6.02E+18,1.00E+15,1.00E+17,5.57E+17,1.28E+14,3.00E+17,-171.121732,0.595092362,21.82750445,0.000430562,32.19044747
199,971,1992,5.97E+18,1.00E+15,1.00E+17,5.73E+17,1.29E+14,3.00E+17,-171.1236102,0.594831779,21.82661599,0.00043088,32.19044747
198,970,2000,6.00E+18,1.00E+15,1.01E+17,5.60E+17,1.28E+14,3.00E+17,-171.1193648,0.595064768,21.82656584,0.000430547,32.19044747
198,970,2000,6.02E+18,1.00E+15,1.00E+17,5.57E+17,1.28E+14,3.00E+17,-171.121732,0.595092362,21.82750445,0.000430562,32.19044747
200,994,2000,8.00E+18,1.27E+15,1.00E+17,4.19E+17,2.23E+14,1.89E+17,-171.1304314,0.602401783,21.77714476,0.000437468,32.19044747
177,983,2000,5.50E+18,2.62E+15,1.00E+17,4.06E+17,4.43E+14,1.77E+17,-171.0316804,0.596372577,21.75868089,0.000430416,32.19044747
200,993,2000,8.00E+18,1.26E+15,1.00E+17,4.21E+17,2.22E+14,1.90E+17,-171.130556,0.602179327,21.77956134,0.000437233,32.19044747
190,900,1340,3.00E+18,2.17E+15,3.39E+17,4.47E+17,2.43E+14,1.00E+18,-170.7468199,0.531706962,21.78536314,0.000410529,34.66559006
500,1015,1000,1.58E+18,1.34E+15,2.46E+17,1.75E+18,1.06E+15,1.66E+18,-170.9404193,0.48940686,21.22220537,0.000462901,34.66559006
500,1078,974,1.80E+18,1.68E+15,2.15E+17,1.87E+18,1.04E+15,1.96E+18,-170.9262046,0.495497316,20.86669293,0.000476321,34.66559006
500,1016,1000,1.58E+18,1.33E+15,2.46E+17,1.75E+18,1.06E+15,1.66E+18,-170.9415569,0.489552561,21.21929939,0.000463112,34.66559006
200,961,1997,6.03E+18,1.00E+15,1.00E+17,5.76E+17,1.22E+14,2.99E+17,-171.1156664,0.592951938,21.83537258,0.000428682,32.19044747
500,998,1000,1.58E+18,1.39E+15,2.46E+17,1.79E+18,1.06E+15,1.67E+18,-170.9211635,0.486602076,21.27633948,0.000459131,34.66559006
198,970,2000,6.02E+18,1.00E+15,1.00E+17,5.58E+17,1.28E+14,3.00E+17,-171.1217192,0.595088052,21.827512,0.000430559,32.19044747
500,1016,1000,1.58E+18,1.33E+15,2.46E+17,1.75E+18,1.06E+15,1.66E+18,-170.9415569,0.489552561,21.21929939,0.000463112,34.66559006
198,970,2000,6.02E+18,1.00E+15,1.00E+17,5.57E+17,1.28E+14,3.00E+17,-171.121732,0.595092362,21.82750445,0.000430562,32.19044747
